Make,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Vehicle Size,Vehicle Style,city mpg,highway MPG,MSRP
gmc,canyon,2012,242.0,5.0,automatic,compact,crew cab pickup,16,21,28610
ford,transit wagon,2016,275.0,6.0,automatic,midsize,passenger van,14,19,33175
nissan,quest,2016,260.0,6.0,automatic,compact,passenger minivan,20,27,34110
volkswagen,passat,2015,150.0,4.0,automated_manual,midsize,sedan,30,42,33925
mercedes-benz,e-class,2015,577.0,8.0,automatic,midsize,wagon,15,21,103200
dodge,challenger,2017,707.0,8.0,manual,large,coupe,13,21,62495
suzuki,sx4,2011,148.0,4.0,automatic,compact,sedan,23,30,17849
volkswagen,jetta gli,2014,210.0,4.0,manual,midsize,sedan,23,33,29775
buick,encore,2016,153.0,4.0,automatic,compact,4dr suv,28,34,27350
audi,q7,2015,240.0,6.0,automatic,large,4dr suv,19,28,65400
dodge,srt viper,2013,640.0,10.0,manual,compact,coupe,12,19,97395
volkswagen,golf gti,2015,210.0,4.0,automated_manual,compact,2dr hatchback,25,33,25885
audi,a5,2016,220.0,4.0,automatic,midsize,convertible,21,29,50200
nissan,350z,2007,306.0,6.0,manual,compact,convertible,17,24,40250
audi,a6,2016,252.0,4.0,automated_manual,midsize,sedan,24,35,46200
toyota,sequoia,2015,381.0,8.0,automatic,large,4dr suv,13,17,53355
chevrolet,trax,2015,138.0,4.0,automatic,compact,4dr suv,24,31,21540
cadillac,cts wagon,2013,318.0,6.0,automatic,midsize,wagon,18,26,44190
volkswagen,rabbit,2009,170.0,5.0,automatic,compact,2dr hatchback,20,29,17400
lincoln,mkx,2016,303.0,6.0,automatic,midsize,4dr suv,17,26,47810
chevrolet,s-10 blazer,1994,165.0,6.0,manual,compact,2dr suv,15,20,2000
oldsmobile,cutlass ciera,1993,160.0,6.0,automatic,midsize,wagon,18,26,2000
lincoln,mark lt,2007,300.0,8.0,automatic,large,crew cab pickup,12,16,38125
mazda,b-series,2001,119.0,4.0,manual,compact,regular cab pickup,19,24,12345
chrysler,300,2017,292.0,6.0,automatic,large,sedan,19,30,42770
chevrolet,lumina minivan,1996,180.0,6.0,automatic,compact,passenger minivan,17,24,2000
saab,900,1997,150.0,4.0,manual,compact,convertible,18,26,2000
honda,ridgeline,2014,250.0,6.0,automatic,large,crew cab pickup,15,21,32380
nissan,murano,2016,250.0,4.0,automatic,midsize,4dr suv,26,30,41730
mitsubishi,raider,2007,235.0,8.0,automatic,compact,crew cab pickup,14,19,28445
ford,tempo,1994,96.0,4.0,manual,compact,sedan,21,30,2000
chrysler,sebring,2010,186.0,6.0,automatic,midsize,convertible,18,26,29210
kia,optima,2014,192.0,4.0,automatic,midsize,sedan,23,34,25500
audi,s6,2017,450.0,8.0,automated_manual,midsize,sedan,18,27,74100
cadillac,ats,2017,272.0,4.0,automatic,midsize,sedan,22,31,34595
ford,explorer sport trac,2008,292.0,8.0,automatic,compact,crew cab pickup,13,20,26710
infiniti,g35,2006,280.0,6.0,automatic,midsize,sedan,16,22,33250
honda,cr-z,2014,130.0,4.0,manual,compact,2dr hatchback,31,38,23340
gmc,sierra 1500 classic,2007,285.0,8.0,automatic,large,regular cab pickup,14,18,27850
suzuki,xl-7,2005,185.0,6.0,automatic,midsize,4dr suv,16,21,21899
maserati,granturismo convertible,2014,444.0,8.0,automatic,midsize,convertible,13,20,138800
dodge,dakota,2008,210.0,6.0,automatic,compact,crew cab pickup,15,20,24010
ford,expedition,2017,365.0,6.0,automatic,large,4dr suv,15,21,55370
chevrolet,silverado 1500 classic,2007,295.0,8.0,automatic,large,extended cab pickup,13,17,31810
bmw,x4,2016,300.0,6.0,automatic,midsize,4dr suv,19,27,49700
toyota,tundra,2017,381.0,8.0,automatic,large,extended cab pickup,13,18,31290
infiniti,g convertible,2013,343.0,6.0,automatic,midsize,convertible,17,25,61450
lexus,gs 450h,2016,338.0,6.0,automatic,midsize,sedan,29,34,63080
lincoln,mkc,2016,240.0,4.0,automatic,compact,4dr suv,19,26,42955
volkswagen,rabbit,2009,170.0,5.0,automatic,compact,4dr hatchback,20,29,19340
nissan,maxima,2016,300.0,6.0,automatic,midsize,sedan,22,30,36990
mitsubishi,diamante,2004,210.0,6.0,automatic,midsize,sedan,15,23,26819
toyota,tundra,2017,381.0,8.0,automatic,large,crew cab pickup,13,17,46010
kia,sedona,2016,276.0,6.0,automatic,midsize,passenger minivan,17,22,39900
nissan,frontier,2015,152.0,4.0,automatic,compact,extended cab pickup,17,23,23020
mazda,cx-5,2016,184.0,4.0,automatic,midsize,4dr suv,26,33,25215
chrysler,concorde,2002,234.0,6.0,automatic,large,sedan,16,24,25520
honda,passport,2001,205.0,6.0,manual,midsize,4dr suv,15,19,26150
infiniti,g37 convertible,2010,325.0,6.0,automatic,midsize,convertible,17,25,54900
suzuki,esteem,2001,122.0,4.0,automatic,compact,wagon,26,30,14699
gmc,terrain,2015,182.0,4.0,automatic,compact,4dr suv,22,32,33065
ford,fiesta,2016,120.0,4.0,manual,compact,sedan,27,35,18530
toyota,sienna,2016,266.0,6.0,automatic,large,passenger minivan,18,25,31840
nissan,murano,2016,250.0,4.0,automatic,midsize,4dr suv,26,30,43780
toyota,tundra,2016,381.0,8.0,automatic,large,crew cab pickup,13,18,34970
dodge,durango,2015,290.0,6.0,automatic,large,4dr suv,17,24,33095
toyota,camry solara,2006,225.0,6.0,automatic,midsize,convertible,18,26,26940
saab,9-3,2009,210.0,4.0,automatic,compact,convertible,19,27,44455
aston martin,v8 vantage,2016,430.0,8.0,manual,compact,coupe,13,19,103300
chevrolet,ssr,2005,395.0,8.0,automatic,compact,regular cab pickup,14,18,42555
chevrolet,trailblazer,2008,285.0,6.0,automatic,midsize,4dr suv,14,20,27745
mercedes-benz,c43 amg,1999,302.0,8.0,automatic,compact,sedan,16,21,4661
volkswagen,new beetle,2008,150.0,5.0,automatic,compact,2dr hatchback,20,29,20990
volkswagen,gti,2012,200.0,4.0,automated_manual,compact,4dr hatchback,24,33,29545
subaru,tribeca,2013,256.0,6.0,automatic,midsize,4dr suv,16,21,32595
mazda,b-series,2001,140.0,4.0,manual,compact,regular cab pickup,21,26,12495
dodge,journey,2015,283.0,6.0,automatic,midsize,4dr suv,16,24,27395
volkswagen,golf gti,2015,220.0,4.0,automated_manual,compact,4dr hatchback,25,33,32640
volkswagen,golf alltrack,2017,170.0,4.0,automated_manual,compact,wagon,22,30,32890
dodge,ram wagon,2000,175.0,6.0,automatic,compact,passenger van,13,15,2326
chevrolet,traverse,2017,281.0,6.0,automatic,midsize,4dr suv,15,22,34100
volvo,s90,2017,316.0,4.0,automatic,large,sedan,22,31,56250
pontiac,grand am,2003,175.0,6.0,automatic,midsize,coupe,18,27,22940
honda,civic,2015,143.0,4.0,automatic,compact,sedan,30,39,24340
porsche,911,2015,430.0,6.0,manual,compact,coupe,18,26,114200
dodge,intrepid,2002,244.0,6.0,automatic,large,sedan,16,24,27055
honda,accord crosstour,2011,271.0,6.0,automatic,midsize,4dr hatchback,18,27,29990
chevrolet,silverado 1500,2016,355.0,8.0,automatic,large,crew cab pickup,16,22,46835
dodge,ram 150,1991,125.0,6.0,unknown,large,regular cab pickup,12,17,2000
lincoln,mkc,2017,240.0,4.0,automatic,compact,4dr suv,21,28,32720
nissan,370z,2017,350.0,6.0,automatic,compact,coupe,19,26,46790
mercedes-benz,amg gt,2016,503.0,8.0,automated_manual,compact,coupe,16,22,129900
volkswagen,gti,2012,200.0,4.0,manual,compact,4dr hatchback,21,31,28445
chrysler,crossfire,2006,215.0,6.0,manual,compact,convertible,15,23,34185
chevrolet,corvette,2016,650.0,8.0,manual,compact,coupe,15,22,82965
dodge,ram 150,1992,230.0,8.0,manual,large,extended cab pickup,11,16,2000
acura,rdx,2017,279.0,6.0,automatic,midsize,4dr suv,19,27,38370
volkswagen,routan,2011,283.0,6.0,automatic,midsize,passenger minivan,17,25,26930
gmc,acadia,2016,281.0,6.0,automatic,midsize,4dr suv,15,22,36175
toyota,highlander hybrid,2014,280.0,6.0,automatic,midsize,4dr suv,27,28,47300
nissan,370z,2016,350.0,6.0,manual,compact,coupe,18,26,45490
ford,transit connect,2015,169.0,4.0,automatic,compact,cargo minivan,21,29,23855
chevrolet,colorado,2012,185.0,4.0,automatic,compact,extended cab pickup,17,23,26620
nissan,juke,2015,188.0,4.0,automatic,compact,4dr hatchback,28,32,20250
toyota,avalon,2015,268.0,6.0,automatic,midsize,sedan,21,31,36080
pontiac,trans sport,1996,180.0,6.0,automatic,compact,passenger minivan,17,24,2000
lexus,rc 350,2016,306.0,6.0,automatic,midsize,coupe,19,26,45015
chevrolet,tracker,2002,127.0,4.0,manual,compact,4dr suv,20,24,16790
porsche,911,2017,540.0,6.0,automated_manual,compact,coupe,20,29,159200
acura,slx,1997,190.0,6.0,automatic,midsize,4dr suv,13,17,2488
subaru,impreza wrx,2014,265.0,4.0,manual,compact,sedan,19,25,29495
gmc,yukon hybrid,2011,332.0,8.0,automatic,large,4dr suv,20,23,58925
acura,cl,2002,225.0,6.0,automatic,midsize,coupe,17,27,28030
chevrolet,malibu classic,2008,219.0,6.0,automatic,midsize,sedan,18,29,20320
bmw,3 series,2015,335.0,6.0,automatic,midsize,sedan,25,33,50150
chevrolet,astro,2003,190.0,6.0,automatic,large,passenger minivan,14,19,23690
bmw,alpina b7,2015,540.0,8.0,automatic,large,sedan,16,24,135200
lexus,ls 600h l,2015,438.0,8.0,automatic,large,sedan,19,23,120440
mitsubishi,mirage,2014,74.0,3.0,automatic,compact,4dr hatchback,37,44,15195
cadillac,cts,2017,335.0,6.0,automatic,large,sedan,20,30,53695
mazda,protege,2001,140.0,4.0,manual,compact,sedan,22,28,18020
kia,amanti,2007,264.0,6.0,automatic,midsize,sedan,17,24,25495
honda,civic,2015,143.0,4.0,automatic,compact,sedan,31,41,20040
bmw,m6 gran coupe,2016,552.0,8.0,automated_manual,large,sedan,14,20,117200
lexus,sc 300,1999,225.0,6.0,automatic,midsize,coupe,17,22,3665
porsche,macan,2017,360.0,6.0,automated_manual,midsize,4dr suv,17,23,67200
bentley,continental gtc,2014,521.0,8.0,automatic,midsize,convertible,14,24,216200
oldsmobile,intrigue,2001,215.0,6.0,automatic,midsize,sedan,17,26,24270
infiniti,q50,2016,208.0,4.0,automatic,midsize,sedan,22,28,39650
honda,cr-z,2014,130.0,4.0,manual,compact,2dr hatchback,31,38,19995
chevrolet,camaro,2015,323.0,6.0,manual,midsize,convertible,17,28,35105
mitsubishi,raider,2008,210.0,6.0,automatic,compact,crew cab pickup,14,18,28780
acura,tlx,2017,206.0,4.0,automated_manual,midsize,sedan,24,35,31900
audi,a3,2017,186.0,4.0,automated_manual,compact,sedan,26,35,31200
volvo,v60,2016,302.0,4.0,automatic,midsize,wagon,22,31,46050
chevrolet,express cargo,2014,195.0,6.0,automatic,midsize,cargo van,14,19,27710
volkswagen,jetta sportwagen,2014,170.0,5.0,automatic,compact,wagon,23,30,26685
chevrolet,silverado 1500,2015,285.0,6.0,automatic,large,regular cab pickup,17,22,35135
chevrolet,corvette,2015,460.0,8.0,manual,compact,convertible,17,29,68160
chevrolet,silverado 1500,2015,355.0,8.0,automatic,large,crew cab pickup,16,23,47575
honda,crosstour,2015,278.0,6.0,automatic,midsize,4dr hatchback,19,28,35290
chevrolet,silverado 1500,2016,285.0,6.0,automatic,large,crew cab pickup,17,22,43775
cadillac,ats,2016,272.0,4.0,automatic,midsize,sedan,22,31,46110
kia,rio,2016,138.0,4.0,automatic,compact,4dr hatchback,27,37,20905
suzuki,verona,2005,155.0,6.0,automatic,midsize,sedan,18,25,21049
acura,rlx,2015,310.0,6.0,automatic,midsize,sedan,20,31,54450
chevrolet,silverado 1500,2017,355.0,8.0,automatic,large,crew cab pickup,15,20,49040
volkswagen,routan,2012,283.0,6.0,automatic,midsize,passenger minivan,17,25,34490
bmw,7 series,2015,315.0,6.0,automatic,large,sedan,19,28,81000
nissan,quest,2015,260.0,6.0,automatic,compact,passenger minivan,20,27,26530
toyota,sienna,2017,296.0,6.0,automatic,large,passenger minivan,19,27,32540
infiniti,q60 coupe,2015,330.0,6.0,automatic,midsize,coupe,18,25,42600
audi,a7,2016,240.0,6.0,automatic,large,sedan,24,35,73050
nissan,frontier,2016,261.0,6.0,automatic,compact,extended cab pickup,15,21,32080
mitsubishi,outlander sport,2016,148.0,4.0,manual,compact,4dr suv,23,29,19595
lincoln,mkx,2015,305.0,6.0,automatic,midsize,4dr suv,18,26,38900
toyota,avalon hybrid,2015,200.0,4.0,automatic,midsize,sedan,40,39,37800
gmc,yukon,2015,355.0,8.0,automatic,large,4dr suv,16,22,50740
toyota,tundra,2017,381.0,8.0,automatic,large,extended cab pickup,13,17,34670
nissan,versa note,2015,109.0,4.0,manual,compact,4dr hatchback,27,36,14180
mazda,truck,2003,147.0,6.0,manual,compact,extended cab pickup,17,21,18885
lincoln,mkc,2015,240.0,4.0,automatic,compact,4dr suv,20,29,46030
cadillac,ats,2017,335.0,6.0,automatic,midsize,sedan,20,30,43995
ford,fusion,2017,231.0,4.0,automatic,midsize,sedan,20,29,32610
ford,focus,2016,160.0,4.0,manual,compact,sedan,26,36,18515
porsche,macan,2017,400.0,6.0,automated_manual,midsize,4dr suv,17,23,76000
aston martin,v8 vantage,2016,430.0,8.0,automated_manual,compact,coupe,14,21,109000
toyota,tundra,2015,381.0,8.0,automatic,large,extended cab pickup,13,17,33060
nissan,frontier,2015,261.0,6.0,automatic,compact,crew cab pickup,16,22,25350
volkswagen,jetta gli,2013,210.0,4.0,manual,midsize,sedan,22,33,26420
audi,a5,2017,220.0,4.0,manual,midsize,coupe,23,32,41200
honda,ridgeline,2014,250.0,6.0,automatic,large,crew cab pickup,15,21,35155
nissan,cube,2012,122.0,4.0,manual,compact,wagon,25,30,16580
mitsubishi,mighty max pickup,1996,116.0,4.0,manual,compact,regular cab pickup,18,23,2000
honda,civic,2017,158.0,4.0,automatic,midsize,sedan,31,40,21140
bmw,alpina b7,2014,540.0,8.0,automatic,large,sedan,16,25,128300
toyota,tundra,2017,381.0,8.0,automatic,large,crew cab pickup,13,18,46980
ford,taurus,2016,365.0,6.0,automatic,large,sedan,16,24,40275
volvo,740,1992,114.0,4.0,automatic,midsize,sedan,18,26,2000
ford,e-series van,2014,225.0,8.0,automatic,large,cargo van,13,16,29815
suzuki,xl7,2008,252.0,6.0,automatic,midsize,4dr suv,15,22,25199
toyota,t100,1998,190.0,6.0,manual,large,extended cab pickup,15,18,3586
cadillac,cts-v wagon,2012,556.0,8.0,manual,midsize,wagon,14,19,63215
volkswagen,jetta,2015,170.0,4.0,automatic,midsize,sedan,25,37,23650
subaru,baja,2004,165.0,4.0,automatic,compact,crew cab pickup,19,25,22795
cadillac,escalade esv,2016,420.0,8.0,automatic,large,4dr suv,15,22,80045
subaru,b9 tribeca,2007,245.0,6.0,automatic,midsize,4dr suv,16,21,33495
suzuki,sx4,2013,150.0,4.0,manual,compact,4dr hatchback,22,30,16999
chevrolet,sonic,2016,138.0,4.0,automatic,compact,4dr hatchback,24,35,18145
chevrolet,corvette,2017,650.0,8.0,manual,compact,convertible,15,22,83450
chevrolet,corvette,2017,460.0,8.0,manual,compact,convertible,16,25,68905
nissan,truck,1997,134.0,4.0,manual,compact,regular cab pickup,19,23,2391
suzuki,kizashi,2012,180.0,4.0,automatic,midsize,sedan,22,29,25749
infiniti,qx70,2016,325.0,6.0,automatic,midsize,4dr suv,16,22,47300
toyota,tacoma,2017,278.0,6.0,automatic,compact,extended cab pickup,18,23,33770
volkswagen,tiguan,2016,200.0,4.0,automatic,compact,4dr suv,20,26,30675
bmw,5 series,2016,240.0,4.0,automatic,large,sedan,23,34,50200
suzuki,xl7,2007,252.0,6.0,automatic,midsize,4dr suv,16,21,31749
rolls-royce,ghost series ii,2016,563.0,12.0,automatic,large,sedan,13,21,329325
volkswagen,beetle,2015,210.0,4.0,manual,compact,2dr hatchback,23,31,31375
maybach,62,2012,620.0,12.0,automatic,large,sedan,10,16,470350
infiniti,i30,2001,227.0,6.0,automatic,midsize,sedan,17,24,31790
nissan,maxima,2016,300.0,6.0,automatic,midsize,sedan,22,30,37770
chevrolet,silverado 1500 classic,2007,295.0,8.0,automatic,large,crew cab pickup,14,19,28515
bmw,activehybrid x6,2010,480.0,8.0,automatic,midsize,4dr suv,17,19,88900
oldsmobile,alero,2003,140.0,4.0,automatic,midsize,coupe,21,30,18085
toyota,corolla,2015,140.0,4.0,automatic,compact,sedan,30,40,19665
gmc,sierra 1500 classic,2007,285.0,8.0,automatic,large,extended cab pickup,14,18,29380
oldsmobile,achieva,1996,150.0,4.0,manual,midsize,sedan,20,30,2000
ford,escape,2015,178.0,4.0,automatic,compact,4dr suv,22,30,27400
chevrolet,sonic,2015,138.0,4.0,manual,compact,4dr hatchback,29,40,18835
lincoln,ls,2004,280.0,8.0,automatic,midsize,sedan,15,23,43370
mitsubishi,raider,2007,210.0,6.0,manual,compact,extended cab pickup,14,20,19890
oldsmobile,bravada,2002,270.0,6.0,automatic,midsize,4dr suv,14,20,32660
ford,expedition,2017,365.0,6.0,automatic,large,4dr suv,15,21,46225
chevrolet,silverado 1500,2017,355.0,8.0,automatic,large,crew cab pickup,16,23,39230
kia,cadenza,2017,290.0,6.0,automatic,midsize,sedan,20,28,38990
audi,r8,2015,430.0,8.0,manual,compact,coupe,11,20,115900
pontiac,solstice,2008,173.0,4.0,manual,compact,convertible,19,25,28400
maserati,granturismo,2016,454.0,8.0,automatic,large,coupe,13,21,165627
hyundai,sonata,2016,245.0,4.0,automatic,midsize,sedan,23,32,28925
ford,ranger,2011,207.0,6.0,manual,compact,extended cab pickup,16,21,22640
lexus,sc 430,2008,288.0,8.0,automatic,compact,convertible,16,23,66355
audi,q3,2015,200.0,4.0,automatic,compact,4dr suv,20,29,32500
pontiac,vibe,2008,126.0,4.0,manual,compact,wagon,26,33,16855
chevrolet,s-10 blazer,1993,165.0,6.0,manual,compact,2dr suv,16,22,2000
saab,9-3 griffin,2012,220.0,4.0,automatic,compact,convertible,18,28,44080
infiniti,qx60,2017,295.0,6.0,automatic,large,4dr suv,20,27,43100
mercedes-benz,c-class,2016,241.0,4.0,automatic,midsize,sedan,25,34,41125
nissan,versa,2016,109.0,4.0,automatic,compact,sedan,31,40,17140
chevrolet,s-10,2002,190.0,6.0,automatic,compact,regular cab pickup,15,20,18169
saab,9000,1997,200.0,4.0,manual,midsize,4dr hatchback,18,26,2084
chevrolet,astro cargo,2003,190.0,6.0,automatic,large,cargo minivan,14,18,24450
subaru,baja,2006,210.0,4.0,automatic,compact,crew cab pickup,16,21,27495
infiniti,g37 coupe,2010,330.0,6.0,automatic,midsize,coupe,19,27,50550
porsche,boxster,2016,330.0,6.0,manual,compact,convertible,19,26,74600
audi,rs 5,2015,450.0,8.0,automated_manual,midsize,coupe,16,23,70900
ferrari,612 scaglietti,2009,532.0,12.0,automated_manual,large,coupe,9,16,313088
honda,element,2009,166.0,4.0,automatic,compact,4dr suv,20,25,20275
mazda,navajo,1994,160.0,6.0,manual,compact,2dr suv,14,18,2000
ford,transit connect,2015,169.0,4.0,automatic,compact,cargo minivan,21,29,23330
dodge,journey,2015,283.0,6.0,automatic,midsize,4dr suv,16,24,33295
bmw,2 series,2017,248.0,4.0,automatic,compact,convertible,23,33,40950
honda,insight,2012,98.0,4.0,automatic,compact,4dr hatchback,41,44,23690
volkswagen,cc,2015,200.0,4.0,automated_manual,midsize,sedan,22,31,35375
subaru,wrx,2016,305.0,4.0,manual,compact,sedan,17,23,38995
lexus,nx 300h,2015,194.0,4.0,automatic,midsize,4dr suv,35,31,39720
volkswagen,jetta,2017,150.0,4.0,automatic,midsize,sedan,28,38,21995
nissan,titan,2014,317.0,8.0,automatic,large,crew cab pickup,13,18,34440
chrysler,aspen,2009,303.0,8.0,automatic,large,4dr suv,14,19,34730
nissan,altima,2016,182.0,4.0,automatic,midsize,sedan,27,39,28570
lincoln,mkx,2017,303.0,6.0,automatic,midsize,4dr suv,17,25,38260
chevrolet,cavalier,2004,140.0,4.0,manual,compact,sedan,23,33,14435
acura,mdx,2016,290.0,6.0,automatic,midsize,4dr suv,18,26,50640
subaru,xv crosstrek,2014,148.0,4.0,manual,compact,4dr suv,23,30,21995
suzuki,sx4,2013,150.0,4.0,manual,compact,sedan,23,33,15845
ford,transit connect,2015,169.0,4.0,automatic,compact,passenger minivan,20,28,29185
hyundai,sonata,2017,185.0,4.0,automatic,midsize,sedan,25,36,21600
hyundai,elantra,2016,145.0,4.0,automatic,compact,sedan,27,37,21700
plymouth,voyager,1998,150.0,4.0,automatic,midsize,passenger minivan,18,24,2000
infiniti,fx,2012,390.0,8.0,automatic,midsize,4dr suv,14,20,59800
rolls-royce,phantom drophead coupe,2016,453.0,12.0,automatic,large,convertible,11,19,492000
lexus,rc 300,2017,255.0,6.0,automatic,midsize,coupe,19,26,42770
gmc,sierra 1500,2017,285.0,6.0,automatic,large,extended cab pickup,18,24,37560
audi,a3,2017,220.0,4.0,automated_manual,compact,convertible,25,34,49250
gmc,canyon,2015,200.0,4.0,automatic,compact,extended cab pickup,20,27,26595
suzuki,kizashi,2013,180.0,4.0,automatic,midsize,sedan,22,29,23249
volkswagen,beetle,2015,210.0,4.0,automated_manual,compact,2dr hatchback,24,30,29775
chevrolet,traverse,2016,281.0,6.0,automatic,midsize,4dr suv,15,22,36005
audi,a4,2016,220.0,4.0,automatic,midsize,sedan,22,31,38000
audi,a6,2017,333.0,6.0,automatic,midsize,sedan,22,31,61600
buick,encore,2015,138.0,4.0,automatic,compact,4dr suv,23,30,27655
aston martin,db9,2015,510.0,12.0,automatic,midsize,convertible,13,19,203295
acura,legend,1993,200.0,6.0,manual,midsize,sedan,16,23,2000
ferrari,456m,2001,442.0,12.0,automatic,compact,coupe,9,14,223970
maserati,coupe,2005,385.0,8.0,automated_manual,compact,coupe,11,16,86877
chevrolet,trailblazer ext,2006,291.0,6.0,automatic,large,4dr suv,14,19,30230
bentley,arnage,2007,450.0,8.0,automatic,large,sedan,10,15,221990
kia,cadenza,2017,290.0,6.0,automatic,midsize,sedan,20,28,44390
nissan,370z,2015,332.0,6.0,automatic,compact,coupe,19,26,39270
bentley,flying spur,2015,500.0,8.0,automatic,large,sedan,14,24,195100
volkswagen,beetle,2015,150.0,4.0,manual,compact,2dr hatchback,31,41,25330
mercedes-benz,slk-class,2015,302.0,6.0,automatic,compact,convertible,21,29,57650
chevrolet,tracker,2002,127.0,4.0,manual,compact,4dr suv,20,23,17890
hyundai,genesis coupe,2015,348.0,6.0,manual,midsize,coupe,16,24,29500
chevrolet,silverado 1500,2017,355.0,8.0,automatic,large,crew cab pickup,15,22,54925
hyundai,tiburon,2006,138.0,4.0,manual,compact,2dr hatchback,21,28,16095
volkswagen,cabrio,2000,115.0,4.0,manual,compact,convertible,21,28,2568
gmc,s-15 jimmy,1991,150.0,6.0,manual,midsize,4dr suv,15,22,2000
hyundai,veloster,2015,201.0,4.0,automatic,compact,2dr hatchback,24,31,23600
honda,passport,2002,205.0,6.0,automatic,midsize,4dr suv,15,19,27600
audi,a3,2017,186.0,4.0,automated_manual,compact,convertible,25,34,37600
land rover,lr4,2016,340.0,6.0,automatic,midsize,4dr suv,15,19,50400
chevrolet,s-10,2002,120.0,4.0,automatic,compact,regular cab pickup,17,23,17169
chevrolet,equinox,2016,182.0,4.0,automatic,compact,4dr suv,20,29,26960
bentley,arnage,2008,500.0,8.0,automatic,large,sedan,10,15,242990
lamborghini,gallardo,2012,570.0,10.0,manual,compact,convertible,12,20,248000
mazda,3,2015,155.0,4.0,manual,compact,sedan,29,41,19595
nissan,xterra,2014,261.0,6.0,automatic,midsize,4dr suv,15,20,27350
chevrolet,cruze limited,2016,138.0,4.0,manual,midsize,sedan,25,36,16120
maserati,ghibli,2017,404.0,6.0,automatic,midsize,sedan,16,24,79700
honda,s2000,2009,237.0,4.0,manual,compact,convertible,18,25,34995
volkswagen,jetta,2015,150.0,4.0,automated_manual,midsize,sedan,31,45,25175
land rover,range rover,2014,340.0,6.0,automatic,large,4dr suv,17,23,88300
ford,explorer sport trac,2008,292.0,8.0,automatic,compact,crew cab pickup,13,19,31320
volkswagen,new beetle,2008,150.0,5.0,automatic,compact,2dr hatchback,20,29,18550
plymouth,sundance,1993,100.0,4.0,manual,compact,4dr hatchback,22,29,2000
dodge,journey,2015,283.0,6.0,automatic,midsize,4dr suv,17,25,31395
chevrolet,traverse,2015,281.0,6.0,automatic,midsize,4dr suv,17,24,36295
volvo,760,1990,144.0,6.0,automatic,midsize,sedan,15,19,2000
scion,xb,2013,158.0,4.0,automatic,compact,wagon,22,28,17920
porsche,boxster,2014,315.0,6.0,manual,compact,convertible,20,28,62100
honda,civic del sol,1997,127.0,4.0,manual,compact,coupe,26,33,2322
suzuki,sx4,2011,150.0,4.0,manual,compact,sedan,23,33,13499
bmw,x5,2015,300.0,6.0,automatic,midsize,4dr suv,18,27,56200
infiniti,g sedan,2011,218.0,6.0,automatic,midsize,sedan,19,27,35000
nissan,240sx,1997,155.0,4.0,manual,compact,coupe,19,26,4107
chevrolet,silverado 1500,2016,285.0,6.0,automatic,large,regular cab pickup,18,24,27095
mercedes-benz,560-class,1990,238.0,8.0,automatic,large,sedan,12,16,2170
chevrolet,trailblazer,2008,285.0,6.0,automatic,midsize,4dr suv,14,20,26390
ford,f-150 heritage,2004,202.0,6.0,manual,large,regular cab pickup,13,18,23285
ford,mustang,2015,435.0,8.0,manual,midsize,coupe,15,25,32300
audi,a3,2016,170.0,4.0,automated_manual,compact,sedan,23,33,33600
toyota,sienna,2017,296.0,6.0,automatic,large,passenger minivan,18,24,41715
cadillac,ats,2016,272.0,4.0,automatic,midsize,sedan,22,30,45155
chevrolet,astro,2005,190.0,6.0,automatic,large,passenger minivan,12,16,26430
toyota,tundra,2015,381.0,8.0,automatic,large,crew cab pickup,13,17,37030
volkswagen,jetta sportwagen,2012,140.0,4.0,manual,compact,wagon,30,42,25540
volvo,c70,2013,227.0,5.0,automatic,compact,convertible,19,28,41200
toyota,rav4,2017,176.0,4.0,automatic,midsize,4dr suv,23,29,31830
ferrari,599,2009,611.0,12.0,automated_manual,midsize,coupe,11,15,320580
subaru,wrx,2015,268.0,4.0,manual,compact,sedan,21,28,28495
infiniti,m,2013,330.0,6.0,automatic,large,sedan,17,24,50850
mazda,cx-7,2012,161.0,4.0,automatic,midsize,4dr suv,20,27,22995
toyota,avalon,2016,268.0,6.0,automatic,midsize,sedan,21,31,37050
volvo,v60,2016,302.0,4.0,automatic,midsize,wagon,22,31,49450
ford,ranger,2010,143.0,4.0,manual,compact,extended cab pickup,22,27,19515
dodge,avenger,2013,173.0,4.0,automatic,midsize,sedan,21,29,19795
subaru,b9 tribeca,2006,250.0,6.0,automatic,midsize,4dr suv,16,21,35895
lexus,gx 470,2007,263.0,8.0,automatic,midsize,4dr suv,14,18,46635
mercedes-benz,c-class,2017,503.0,8.0,automatic,midsize,sedan,18,24,72800
gmc,savana cargo,2016,285.0,8.0,automatic,midsize,cargo van,11,16,30595
chevrolet,silverado 1500,2015,355.0,8.0,automatic,large,extended cab pickup,16,22,42760
ford,mustang svt cobra,1998,305.0,8.0,manual,compact,coupe,16,24,3654
chevrolet,lumina minivan,1995,120.0,6.0,automatic,compact,cargo minivan,17,21,2000
volvo,s60,2017,240.0,4.0,automatic,midsize,sedan,25,36,36800
pontiac,6000,1990,110.0,4.0,automatic,midsize,sedan,20,29,2000
honda,civic,2015,143.0,4.0,automatic,compact,sedan,30,39,19990
nissan,xterra,2013,261.0,6.0,automatic,midsize,4dr suv,15,20,24990
gmc,envoy xl,2006,291.0,6.0,automatic,large,4dr suv,14,19,30910
